,offspring,model
0,110,alpha=1.9
1,130,alpha=1.9
2,70,alpha=1.9
3,88,alpha=1.9
4,103,alpha=1.9
5,120,alpha=1.9
6,98,alpha=1.9
7,95,alpha=1.9
8,75,alpha=1.9
9,89,alpha=1.9
10,98,alpha=1.9
11,124,alpha=1.9
12,64,alpha=1.9
13,86,alpha=1.9
14,117,alpha=1.9
15,122,alpha=1.9
16,67,alpha=1.9
17,89,alpha=1.9
18,78,alpha=1.9
19,105,alpha=1.9
20,113,alpha=1.9
21,93,alpha=1.9
22,115,alpha=1.9
23,117,alpha=1.9
24,73,alpha=1.9
25,75,alpha=1.9
26,84,alpha=1.9
27,90,alpha=1.9
28,88,alpha=1.9
29,85,alpha=1.9
30,91,alpha=1.9
31,73,alpha=1.9
32,83,alpha=1.9
33,97,alpha=1.9
34,83,alpha=1.9
35,84,alpha=1.9
36,80,alpha=1.9
37,92,alpha=1.9
38,113,alpha=1.9
39,72,alpha=1.9
40,57,alpha=1.9
41,76,alpha=1.9
42,64,alpha=1.9
43,110,alpha=1.9
44,104,alpha=1.9
45,148,alpha=1.9
46,90,alpha=1.9
47,71,alpha=1.9
48,78,alpha=1.9
49,91,alpha=1.9
50,125,alpha=1.9
51,107,alpha=1.9
52,102,alpha=1.9
53,106,alpha=1.9
54,104,alpha=1.9
55,77,alpha=1.9
56,84,alpha=1.9
57,85,alpha=1.9
58,75,alpha=1.9
59,78,alpha=1.9
60,98,alpha=1.9
61,117,alpha=1.9
62,112,alpha=1.9
63,80,alpha=1.9
64,102,alpha=1.9
65,77,alpha=1.9
66,94,alpha=1.9
67,81,alpha=1.9
68,100,alpha=1.9
69,84,alpha=1.9
70,124,alpha=1.9
71,104,alpha=1.9
72,94,alpha=1.9
73,100,alpha=1.9
74,101,alpha=1.9
75,67,alpha=1.9
76,106,alpha=1.9
77,107,alpha=1.9
78,87,alpha=1.9
79,77,alpha=1.9
80,101,alpha=1.9
81,88,alpha=1.9
82,145,alpha=1.9
83,79,alpha=1.9
84,103,alpha=1.9
85,101,alpha=1.9
86,78,alpha=1.9
87,72,alpha=1.9
88,115,alpha=1.9
89,95,alpha=1.9
90,112,alpha=1.9
91,96,alpha=1.9
92,111,alpha=1.9
93,112,alpha=1.9
94,98,alpha=1.9
95,75,alpha=1.9
96,81,alpha=1.9
97,91,alpha=1.9
98,105,alpha=1.9
99,184,alpha=1.9
100,86,alpha=1.9
101,76,alpha=1.9
102,81,alpha=1.9
103,114,alpha=1.9
104,69,alpha=1.9
105,154,alpha=1.9
106,107,alpha=1.9
107,85,alpha=1.9
108,99,alpha=1.9
109,79,alpha=1.9
110,98,alpha=1.9
111,96,alpha=1.9
112,91,alpha=1.9
113,104,alpha=1.9
114,113,alpha=1.9
115,97,alpha=1.9
116,82,alpha=1.9
117,89,alpha=1.9
118,111,alpha=1.9
119,89,alpha=1.9
120,110,alpha=1.9
121,154,alpha=1.9
122,84,alpha=1.9
123,112,alpha=1.9
124,118,alpha=1.9
125,98,alpha=1.9
126,141,alpha=1.9
127,88,alpha=1.9
128,109,alpha=1.9
129,93,alpha=1.9
130,90,alpha=1.9
131,94,alpha=1.9
132,77,alpha=1.9
133,112,alpha=1.9
134,96,alpha=1.9
135,88,alpha=1.9
136,96,alpha=1.9
137,95,alpha=1.9
138,85,alpha=1.9
139,64,alpha=1.9
140,92,alpha=1.9
141,122,alpha=1.9
142,104,alpha=1.9
143,92,alpha=1.9
144,101,alpha=1.9
145,84,alpha=1.9
146,108,alpha=1.9
147,104,alpha=1.9
148,82,alpha=1.9
149,112,alpha=1.9
150,69,alpha=1.9
151,113,alpha=1.9
152,86,alpha=1.9
153,90,alpha=1.9
154,96,alpha=1.9
155,106,alpha=1.9
156,103,alpha=1.9
157,103,alpha=1.9
158,99,alpha=1.9
