,offspring,model
0,24,high_var
1,106,high_var
2,122,high_var
3,105,high_var
4,90,high_var
5,114,high_var
6,93,high_var
7,100,high_var
8,475,high_var
9,80,high_var
10,81,high_var
11,101,high_var
12,108,high_var
13,90,high_var
14,83,high_var
15,99,high_var
16,103,high_var
17,99,high_var
18,122,high_var
19,98,high_var
20,18,high_var
21,111,high_var
22,143,high_var
23,94,high_var
24,122,high_var
25,33,high_var
26,77,high_var
27,110,high_var
28,84,high_var
29,103,high_var
30,103,high_var
31,520,high_var
32,87,high_var
33,115,high_var
34,107,high_var
35,96,high_var
36,21,high_var
37,99,high_var
38,84,high_var
39,99,high_var
40,503,high_var
41,103,high_var
42,125,high_var
43,98,high_var
44,82,high_var
45,495,high_var
46,93,high_var
47,15,high_var
48,108,high_var
49,84,high_var
50,83,high_var
51,101,high_var
52,118,high_var
53,23,high_var
54,67,high_var
55,84,high_var
56,105,high_var
57,85,high_var
58,88,high_var
59,481,high_var
60,105,high_var
61,104,high_var
62,96,high_var
63,95,high_var
64,88,high_var
65,92,high_var
66,107,high_var
67,15,high_var
68,383,high_var
69,16,high_var
70,111,high_var
71,96,high_var
72,97,high_var
73,76,high_var
74,117,high_var
75,490,high_var
76,97,high_var
77,86,high_var
78,112,high_var
79,25,high_var
80,111,high_var
81,100,high_var
82,138,high_var
83,85,high_var
84,12,high_var
85,101,high_var
86,444,high_var
87,102,high_var
88,90,high_var
89,109,high_var
90,89,high_var
91,100,high_var
92,104,high_var
93,114,high_var
94,87,high_var
95,90,high_var
96,87,high_var
97,12,high_var
98,94,high_var
99,93,high_var
100,92,high_var
101,24,high_var
102,111,high_var
103,89,high_var
104,105,high_var
105,110,high_var
106,106,high_var
107,30,high_var
108,144,high_var
109,89,high_var
110,100,high_var
111,93,high_var
112,111,high_var
113,84,high_var
114,560,high_var
115,17,high_var
116,116,high_var
117,94,high_var
118,95,high_var
119,26,high_var
120,90,high_var
121,18,high_var
122,112,high_var
123,94,high_var
124,94,high_var
125,510,high_var
126,111,high_var
127,85,high_var
128,94,high_var
129,119,high_var
130,114,high_var
131,111,high_var
132,118,high_var
133,106,high_var
134,619,high_var
135,93,high_var
136,66,high_var
137,108,high_var
138,98,high_var
139,504,high_var
140,113,high_var
141,98,high_var
142,112,high_var
143,109,high_var
144,98,high_var
145,115,high_var
146,112,high_var
147,83,high_var
148,87,high_var
149,24,high_var
150,520,high_var
151,111,high_var
152,77,high_var
153,99,high_var
154,119,high_var
155,100,high_var
156,125,high_var
157,86,high_var
158,121,high_var
159,25,high_var
160,111,high_var
161,91,high_var
162,109,high_var
163,98,high_var
164,107,high_var
165,93,high_var
166,26,high_var
167,86,high_var
168,91,high_var
169,26,high_var
170,85,high_var
171,118,high_var
172,88,high_var
173,120,high_var
174,108,high_var
175,85,high_var
176,105,high_var
177,118,high_var
178,93,high_var
179,84,high_var
180,112,high_var
181,93,high_var
182,102,high_var
183,67,high_var
184,89,high_var
185,89,high_var
186,118,high_var
187,97,high_var
188,96,high_var
189,92,high_var
190,99,high_var
191,86,high_var
192,114,high_var
193,85,high_var
194,16,high_var
195,492,high_var
196,90,high_var
197,88,high_var
198,95,high_var
199,73,high_var
200,127,high_var
201,90,high_var
202,117,high_var
203,74,high_var
204,74,high_var
205,111,high_var
206,94,high_var
207,103,high_var
208,113,high_var
209,98,high_var
210,102,high_var
211,26,high_var
212,111,high_var
213,98,high_var
214,458,high_var
215,93,high_var
216,101,high_var
217,98,high_var
218,82,high_var
219,106,high_var
220,78,high_var
221,100,high_var
222,86,high_var
223,120,high_var
224,431,high_var
225,113,high_var
226,117,high_var
227,105,high_var
228,515,high_var
229,486,high_var
230,95,high_var
231,106,high_var
232,89,high_var
233,476,high_var
234,106,high_var
235,74,high_var
236,83,high_var
237,104,high_var
238,97,high_var
239,96,high_var
240,117,high_var
241,69,high_var
242,87,high_var
243,101,high_var
244,122,high_var
245,14,high_var
246,109,high_var
247,112,high_var
248,73,high_var
249,93,high_var
250,109,high_var
251,100,high_var
252,113,high_var
253,25,high_var
254,102,high_var
255,112,high_var
256,411,high_var
257,112,high_var
258,14,high_var
259,103,high_var
260,116,high_var
261,91,high_var
262,79,high_var
263,399,high_var
264,22,high_var
265,85,high_var
266,109,high_var
267,103,high_var
268,437,high_var
269,84,high_var
270,23,high_var
271,405,high_var
272,122,high_var
273,103,high_var
274,88,high_var
275,119,high_var
276,110,high_var
277,106,high_var
278,109,high_var
279,463,high_var
280,83,high_var
281,120,high_var
282,80,high_var
283,19,high_var
284,93,high_var
285,112,high_var
286,95,high_var
287,25,high_var
288,112,high_var
289,100,high_var
290,81,high_var
291,107,high_var
292,91,high_var
293,107,high_var
294,108,high_var
295,563,high_var
296,85,high_var
297,102,high_var
298,101,high_var
299,107,high_var
300,547,high_var
301,114,high_var
302,82,high_var
303,115,high_var
304,103,high_var
305,88,high_var
306,84,high_var
307,114,high_var
308,124,high_var
309,101,high_var
310,100,high_var
311,93,high_var
312,109,high_var
313,420,high_var
314,106,high_var
315,119,high_var
316,93,high_var
317,101,high_var
318,98,high_var
319,114,high_var
320,97,high_var
321,100,high_var
322,86,high_var
323,84,high_var
324,102,high_var
325,72,high_var
326,85,high_var
327,482,high_var
328,103,high_var
329,406,high_var
330,101,high_var
331,104,high_var
332,22,high_var
333,102,high_var
334,99,high_var
335,23,high_var
336,111,high_var
337,104,high_var
338,26,high_var
339,102,high_var
340,100,high_var
341,90,high_var
342,70,high_var
343,88,high_var
344,81,high_var
345,400,high_var
346,462,high_var
347,498,high_var
348,113,high_var
349,83,high_var
350,97,high_var
