,offspring,model
0,99,alpha=1.9
1,93,alpha=1.9
2,108,alpha=1.9
3,85,alpha=1.9
4,93,alpha=1.9
5,124,alpha=1.9
6,86,alpha=1.9
7,97,alpha=1.9
8,130,alpha=1.9
9,90,alpha=1.9
10,103,alpha=1.9
11,112,alpha=1.9
12,89,alpha=1.9
13,96,alpha=1.9
14,92,alpha=1.9
15,95,alpha=1.9
16,88,alpha=1.9
17,97,alpha=1.9
18,98,alpha=1.9
19,98,alpha=1.9
20,94,alpha=1.9
21,96,alpha=1.9
22,91,alpha=1.9
23,99,alpha=1.9
24,103,alpha=1.9
25,112,alpha=1.9
26,112,alpha=1.9
27,84,alpha=1.9
28,87,alpha=1.9
29,107,alpha=1.9
30,104,alpha=1.9
31,89,alpha=1.9
32,102,alpha=1.9
33,102,alpha=1.9
34,93,alpha=1.9
35,95,alpha=1.9
36,99,alpha=1.9
37,98,alpha=1.9
38,104,alpha=1.9
39,107,alpha=1.9
40,108,alpha=1.9
41,95,alpha=1.9
42,94,alpha=1.9
43,103,alpha=1.9
44,107,alpha=1.9
45,99,alpha=1.9
46,85,alpha=1.9
47,95,alpha=1.9
48,104,alpha=1.9
49,97,alpha=1.9
50,83,alpha=1.9
51,85,alpha=1.9
52,88,alpha=1.9
53,93,alpha=1.9
54,93,alpha=1.9
55,101,alpha=1.9
56,91,alpha=1.9
57,120,alpha=1.9
58,96,alpha=1.9
59,101,alpha=1.9
60,102,alpha=1.9
61,98,alpha=1.9
62,110,alpha=1.9
63,91,alpha=1.9
64,117,alpha=1.9
65,92,alpha=1.9
66,101,alpha=1.9
67,119,alpha=1.9
68,92,alpha=1.9
69,89,alpha=1.9
70,98,alpha=1.9
71,109,alpha=1.9
72,89,alpha=1.9
73,98,alpha=1.9
74,81,alpha=1.9
75,110,alpha=1.9
76,81,alpha=1.9
77,99,alpha=1.9
78,85,alpha=1.9
79,93,alpha=1.9
80,113,alpha=1.9
81,104,alpha=1.9
82,106,alpha=1.9
83,85,alpha=1.9
84,92,alpha=1.9
85,100,alpha=1.9
86,117,alpha=1.9
87,94,alpha=1.9
88,103,alpha=1.9
89,92,alpha=1.9
90,105,alpha=1.9
91,119,alpha=1.9
92,105,alpha=1.9
93,91,alpha=1.9
94,82,alpha=1.9
95,100,alpha=1.9
96,93,alpha=1.9
97,87,alpha=1.9
98,108,alpha=1.9
99,102,alpha=1.9
100,96,alpha=1.9
101,102,alpha=1.9
102,106,alpha=1.9
103,96,alpha=1.9
104,106,alpha=1.9
105,104,alpha=1.9
106,111,alpha=1.9
107,103,alpha=1.9
108,99,alpha=1.9
109,93,alpha=1.9
110,98,alpha=1.9
111,114,alpha=1.9
112,95,alpha=1.9
113,115,alpha=1.9
114,97,alpha=1.9
115,101,alpha=1.9
116,112,alpha=1.9
117,102,alpha=1.9
118,97,alpha=1.9
119,117,alpha=1.9
120,101,alpha=1.9
121,91,alpha=1.9
122,96,alpha=1.9
123,107,alpha=1.9
124,99,alpha=1.9
125,95,alpha=1.9
126,88,alpha=1.9
127,116,alpha=1.9
128,99,alpha=1.9
129,92,alpha=1.9
130,92,alpha=1.9
131,100,alpha=1.9
132,87,alpha=1.9
133,98,alpha=1.9
134,100,alpha=1.9
135,107,alpha=1.9
136,96,alpha=1.9
137,113,alpha=1.9
138,84,alpha=1.9
139,92,alpha=1.9
140,99,alpha=1.9
141,96,alpha=1.9
142,125,alpha=1.9
143,106,alpha=1.9
144,100,alpha=1.9
145,103,alpha=1.9
146,85,alpha=1.9
147,96,alpha=1.9
148,98,alpha=1.9
149,104,alpha=1.9
150,108,alpha=1.9
151,110,alpha=1.9
152,101,alpha=1.9
153,119,alpha=1.9
154,117,alpha=1.9
155,100,alpha=1.9
156,108,alpha=1.9
157,94,alpha=1.9
158,102,alpha=1.9
159,111,alpha=1.9
160,105,alpha=1.9
161,93,alpha=1.9
162,120,alpha=1.9
163,107,alpha=1.9
164,109,alpha=1.9
165,91,alpha=1.9
166,94,alpha=1.9
167,118,alpha=1.9
168,100,alpha=1.9
169,98,alpha=1.9
170,121,alpha=1.9
171,104,alpha=1.9
172,96,alpha=1.9
173,91,alpha=1.9
174,83,alpha=1.9
175,107,alpha=1.9
176,104,alpha=1.9
177,98,alpha=1.9
178,106,alpha=1.9
179,102,alpha=1.9
180,99,alpha=1.9
181,95,alpha=1.9
182,127,alpha=1.9
183,80,alpha=1.9
184,96,alpha=1.9
185,100,alpha=1.9
186,110,alpha=1.9
187,100,alpha=1.9
188,113,alpha=1.9
189,93,alpha=1.9
190,99,alpha=1.9
191,105,alpha=1.9
192,112,alpha=1.9
193,88,alpha=1.9
194,107,alpha=1.9
195,96,alpha=1.9
196,78,alpha=1.9
197,75,alpha=1.9
198,109,alpha=1.9
199,108,alpha=1.9
200,89,alpha=1.9
201,112,alpha=1.9
202,79,alpha=1.9
203,104,alpha=1.9
204,111,alpha=1.9
205,85,alpha=1.9
206,92,alpha=1.9
207,97,alpha=1.9
208,110,alpha=1.9
209,95,alpha=1.9
210,101,alpha=1.9
211,98,alpha=1.9
212,106,alpha=1.9
213,103,alpha=1.9
214,92,alpha=1.9
215,103,alpha=1.9
216,100,alpha=1.9
217,103,alpha=1.9
218,103,alpha=1.9
219,90,alpha=1.9
220,109,alpha=1.9
221,96,alpha=1.9
222,105,alpha=1.9
223,78,alpha=1.9
224,97,alpha=1.9
225,76,alpha=1.9
226,92,alpha=1.9
227,88,alpha=1.9
228,97,alpha=1.9
229,113,alpha=1.9
230,93,alpha=1.9
231,105,alpha=1.9
232,93,alpha=1.9
233,106,alpha=1.9
234,96,alpha=1.9
235,89,alpha=1.9
236,104,alpha=1.9
237,78,alpha=1.9
238,100,alpha=1.9
239,94,alpha=1.9
240,92,alpha=1.9
241,111,alpha=1.9
242,86,alpha=1.9
243,107,alpha=1.9
244,114,alpha=1.9
245,91,alpha=1.9
246,91,alpha=1.9
247,95,alpha=1.9
248,112,alpha=1.9
249,107,alpha=1.9
250,94,alpha=1.9
251,82,alpha=1.9
252,84,alpha=1.9
253,98,alpha=1.9
254,90,alpha=1.9
255,104,alpha=1.9
256,112,alpha=1.9
257,84,alpha=1.9
258,96,alpha=1.9
259,79,alpha=1.9
260,98,alpha=1.9
261,100,alpha=1.9
262,95,alpha=1.9
263,92,alpha=1.9
264,102,alpha=1.9
265,95,alpha=1.9
266,105,alpha=1.9
267,88,alpha=1.9
268,118,alpha=1.9
269,99,alpha=1.9
270,91,alpha=1.9
271,80,alpha=1.9
272,93,alpha=1.9
273,99,alpha=1.9
274,96,alpha=1.9
275,97,alpha=1.9
276,121,alpha=1.9
277,99,alpha=1.9
278,108,alpha=1.9
279,90,alpha=1.9
280,105,alpha=1.9
281,102,alpha=1.9
282,113,alpha=1.9
283,86,alpha=1.9
284,96,alpha=1.9
285,117,alpha=1.9
286,99,alpha=1.9
287,84,alpha=1.9
288,113,alpha=1.9
289,104,alpha=1.9
290,100,alpha=1.9
291,123,alpha=1.9
292,108,alpha=1.9
293,100,alpha=1.9
294,101,alpha=1.9
295,110,alpha=1.9
296,86,alpha=1.9
297,101,alpha=1.9
298,84,alpha=1.9
299,112,alpha=1.9
300,94,alpha=1.9
301,102,alpha=1.9
302,86,alpha=1.9
303,106,alpha=1.9
304,96,alpha=1.9
305,92,alpha=1.9
306,104,alpha=1.9
307,109,alpha=1.9
308,98,alpha=1.9
309,106,alpha=1.9
310,90,alpha=1.9
311,95,alpha=1.9
312,106,alpha=1.9
313,100,alpha=1.9
314,96,alpha=1.9
315,96,alpha=1.9
316,104,alpha=1.9
317,91,alpha=1.9
318,97,alpha=1.9
319,91,alpha=1.9
320,109,alpha=1.9
321,89,alpha=1.9
322,114,alpha=1.9
323,90,alpha=1.9
324,93,alpha=1.9
325,88,alpha=1.9
326,93,alpha=1.9
327,103,alpha=1.9
328,95,alpha=1.9
329,92,alpha=1.9
330,109,alpha=1.9
331,103,alpha=1.9
332,114,alpha=1.9
333,98,alpha=1.9
334,110,alpha=1.9
335,100,alpha=1.9
336,109,alpha=1.9
337,107,alpha=1.9
338,112,alpha=1.9
339,86,alpha=1.9
340,116,alpha=1.9
341,108,alpha=1.9
