,offspring,model
0,117,high_var
1,96,high_var
2,103,high_var
3,91,high_var
4,111,high_var
5,105,high_var
6,108,high_var
7,123,high_var
8,97,high_var
9,103,high_var
10,101,high_var
11,94,high_var
12,107,high_var
13,115,high_var
14,110,high_var
15,107,high_var
16,95,high_var
17,91,high_var
18,101,high_var
19,102,high_var
20,88,high_var
21,105,high_var
22,81,high_var
23,88,high_var
24,116,high_var
25,105,high_var
26,96,high_var
27,95,high_var
28,105,high_var
29,96,high_var
30,104,high_var
31,89,high_var
32,92,high_var
33,99,high_var
34,117,high_var
35,100,high_var
36,110,high_var
37,105,high_var
38,83,high_var
39,93,high_var
40,102,high_var
41,98,high_var
42,91,high_var
43,114,high_var
44,88,high_var
45,89,high_var
46,88,high_var
47,115,high_var
48,95,high_var
49,107,high_var
50,105,high_var
51,82,high_var
52,98,high_var
53,97,high_var
54,120,high_var
55,101,high_var
56,86,high_var
57,98,high_var
58,112,high_var
59,115,high_var
60,94,high_var
61,110,high_var
62,90,high_var
63,103,high_var
64,92,high_var
65,102,high_var
66,111,high_var
67,107,high_var
68,92,high_var
69,83,high_var
70,106,high_var
71,106,high_var
72,91,high_var
73,97,high_var
74,108,high_var
75,91,high_var
76,100,high_var
77,99,high_var
78,102,high_var
79,111,high_var
80,106,high_var
81,90,high_var
82,96,high_var
83,112,high_var
84,99,high_var
85,107,high_var
86,100,high_var
87,106,high_var
88,119,high_var
89,93,high_var
90,93,high_var
91,99,high_var
92,96,high_var
93,98,high_var
94,75,high_var
95,116,high_var
96,110,high_var
97,98,high_var
98,105,high_var
99,103,high_var
100,114,high_var
101,99,high_var
102,98,high_var
103,89,high_var
104,103,high_var
105,112,high_var
106,110,high_var
107,98,high_var
108,113,high_var
109,93,high_var
110,108,high_var
111,99,high_var
112,119,high_var
113,90,high_var
114,107,high_var
115,93,high_var
116,124,high_var
117,99,high_var
118,111,high_var
119,103,high_var
120,105,high_var
121,101,high_var
122,113,high_var
123,118,high_var
124,116,high_var
125,103,high_var
126,110,high_var
127,114,high_var
128,94,high_var
129,85,high_var
130,101,high_var
131,90,high_var
